product_id,description,price,store_location
A-1001,Dwarf Mango Tree (Alphonso) - fruit-bearing tree for hot climates,1499,Delhi-NCR
A-1002,Guava Sapling (Allahabad) - sweet fruit tree for tropical weather,899,Delhi-NCR
A-1003,Papaya Seedling (Red Lady) - fast-growing fruit tree for warm regions,349,Lucknow
A-1004,Chikoo (Sapodilla) Tree - tropical fruit tree loves heat,799,Mumbai
A-1005,Lemon Tree (Kagzi Nimbu) - citrus fruit tree hardy in sun,599,Pune
A-1006,Pomegranate Sapling (Bhagwa) - drought-tolerant fruit tree,699,Jaipur
A-1007,Jackfruit Tree (Kerala) - massive tropical fruit tree,1299,Kochi
A-1008,Coconut Sapling - coastal fruit tree for hot humid climate,499,Chennai
A-1009,Banana Plant (Robusta) - quick-growing fruit plant for heat,299,Bengaluru
A-1010,Tamarind Tree - slow-growing sour fruit tree for dry heat,999,Hyderabad
A-1011,Apple Tree (Kashmiri) - fruit tree needing cold winters,1899,Srinagar
A-1012,Cherry Sapling - fruit tree for cool hilly climates,1599,Shimla
A-1013,Plum Tree - temperate fruit tree needs cold weather,1399,Manali
A-1014,Peach Sapling - stone fruit tree for cooler regions,1499,Nainital
A-1015,Tomato Plant - vegetable plant easy container gardening,149,Delhi-NCR
A-1016,Chili Plant (Bhut Jolokia) - spicy vegetable plant for heat,249,Guwahati
A-1017,Mint (Pudina) Plant - edible herb loves moisture,99,Delhi-NCR
A-1018,Coriander (Dhaniya) Plant - cooking herb quick harvest,79,Delhi-NCR
A-1019,Curry Leaf Plant - south Indian cooking herb tree,399,Chennai
A-1020,Basil (Tulsi) Plant - sacred medicinal herb for pots,199,Varanasi
A-1021,Rose Bush (Red Damask) - classic flowering shrub for gardens,499,Pune
A-1022,Marigold (Genda) Plant - bright flower for festivals and monsoon,149,Delhi-NCR
A-1023,Hibiscus (Gudhal) Plant - showy tropical flower for heat,299,Mumbai
A-1024,Jasmine (Mogra) Plant - fragrant night-blooming flower vine,349,Bengaluru
A-1025,Bougainvillea - colourful flowering creeper loves sun,399,Goa
A-1026,Sunflower Seeds Pack - annual flower loves full sun,99,Delhi-NCR
A-1027,Money Plant (Pothos) - low-light indoor climbing vine,199,Delhi-NCR
A-1028,Snake Plant (Sansevieria) - tough indoor air-purifier,449,Delhi-NCR
A-1029,Spider Plant - easy indoor plant for beginners,249,Delhi-NCR
A-1030,Peace Lily - shade-loving indoor flowering plant,549,Delhi-NCR
A-1031,Rubber Plant (Ficus) - tall glossy indoor tree for homes,799,Mumbai
A-1032,Aloe Vera Plant - medicinal succulent loves dry heat,199,Jaipur
A-1033,Jade Plant - lucky succulent easy desk plant,299,Delhi-NCR
A-1034,Cactus Assortment (5 pcs) - low-maintenance desert plants,499,Jaisalmer
A-1035,Desert Rose (Adenium) - succulent flower loves sun heat,699,Jaipur
A-1036,Neem Sapling - medicinal tree tolerates extreme heat drought,599,Delhi-NCR
A-1037,Ashoka Tree - ornamental evergreen tree for avenues,999,Kolkata
A-1038,Gulmohar Sapling - flowering shade tree for hot summers,899,Chennai
A-1039,Bamboo Plant (Lucky) - indoor water-based plant for luck,249,Delhi-NCR
A-1040,Peepal Sapling - sacred tree tolerates pollution heat,499,Varanasi
